                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0018,                0.77256,                 1.2915,                0.79499,                0.79919,                0.82065,                0.51687,                 1.3706,                0.87698,                 1.6991,             0.00011581,             0.00011581,             0.00011581
                     36,                0.99341,                0.78158,                 1.2872,                0.79506,                0.79782,                0.82774,                0.52215,                 1.3821,                0.86518,                 1.7066,              0.0001141,              0.0001141,              0.0001141
                     37,                0.97806,                0.74885,                 1.2766,                 0.7951,                0.81453,                0.82952,                0.52835,                 1.3752,                0.87584,                 1.6944,              0.0001124,              0.0001124,              0.0001124
                     38,                0.96779,                0.72735,                 1.2691,                0.78701,                0.81205,                0.83562,                0.53196,                 1.3539,                0.86487,                 1.6713,              0.0001107,              0.0001107,              0.0001107
                     39,                0.97181,                0.72631,                  1.273,                0.79298,                0.81243,                0.83496,                0.52276,                 1.3928,                0.85613,                 1.7243,               0.000109,               0.000109,               0.000109
                     40,                0.94939,                 0.7123,                  1.265,                0.77793,                0.82221,                0.82523,                0.51843,                 1.3648,                0.87679,                  1.728,             0.00010729,             0.00010729,             0.00010729
                     41,                0.94267,                0.70757,                 1.2545,                0.79177,                0.83786,                 0.8268,                0.51458,                  1.406,                 0.8769,                 1.7436,             0.00010559,             0.00010559,             0.00010559
                     42,                0.95071,                 0.7011,                 1.2604,                0.77899,                0.82117,                0.82345,                0.52831,                 1.3745,                0.90311,                  1.737,             0.00010389,             0.00010389,             0.00010389
                     43,                0.93672,                0.68425,                 1.2563,                0.81049,                0.80581,                0.83149,                0.52785,                 1.3816,                0.88087,                 1.7464,             0.00010219,             0.00010219,             0.00010219
                     44,                0.92216,                0.67279,                 1.2491,                0.79336,                0.80981,                0.81711,                0.51408,                 1.3925,                 0.8764,                 1.7636,             0.00010048,             0.00010048,             0.00010048
                     45,                 0.9206,                0.66718,                 1.2476,                0.80762,                0.82219,                0.83008,                0.52435,                 1.3756,                0.84932,                 1.7685,              9.878e-05,              9.878e-05,              9.878e-05
                     46,                 0.9178,                 0.6689,                 1.2448,                0.80576,                0.81017,                0.82482,                0.52172,                 1.3824,                 0.8674,                   1.75,             9.7077e-05,             9.7077e-05,             9.7077e-05
                     47,                0.90091,                0.65328,                 1.2303,                0.78928,                0.80384,                0.81392,                 0.5191,                 1.3921,                0.89002,                 1.7864,             9.5374e-05,             9.5374e-05,             9.5374e-05
                     48,                0.89401,                 0.6547,                 1.2383,                0.81868,                0.79467,                0.82739,                0.52122,                 1.3949,                0.84716,                 1.7825,             9.3671e-05,             9.3671e-05,             9.3671e-05
